Company Name,Current Rater,Instrument Type,Rating,Rating Date,Urgency,INC Status,Rating Status,Hot Score,Why Target,ACER Pitch,Source,Heat Category
Sai Point Finance Corporation Limited,Infomerics,Long Term Fund Based Limits - Cash Credit,IVR BB (INC)(Withdrawn),2021-11-25,HIGH,INC,Nil,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
RBA Finance Private Limited,Infomerics,Proposed Long Term Fund Based Limit - Cash Credit,"IVR BB+ (Upgraded, removed from INC category and simultaneously Withdrawn)",2024-03-07,HIGH,INC,Stable,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
IFL Housing Finance Limited,Infomerics,Long-Term Bank Facilities,IVR BB (INC) (Downgraded),2024-12-09,HIGH,INC,Negative,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
ICL Fincorp Limited,Infomerics,Non-Convertible Debentures,IVR BB (INC) (Reaffirmed),2025-03-21,HIGH,INC,Negative,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
Adhikar Microfinance Private Limited,Infomerics,Long Term Bank Facilities- Term Loan,IVR D (INC)(Reaffirmed),2025-04-01,HIGH,INC,Nil,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
Glowmore Finance Private Limited,Infomerics,Proposed Long-term Bank Facilities,IVR B- (INC)(Downgraded),2025-04-30,HIGH,INC,Negative,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
B W D A Finance Ltd.,ACUITE,Long term Loans,BB,2025-05-08,HIGH,INC,Downgraded,100,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,ULTRA HOT — Overdue + INC
Genesis Finance Co. Ltd.,BRICKWORK,Term loans,B,2025-05-12,HIGH,INC,Downgraded,100,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,ULTRA HOT — Overdue + INC
Subhlakshmi Finance Private Limited,Infomerics,Long Term Facilities,IVR BB+ (INC)(Downgraded),2025-05-21,HIGH,INC,Negative,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
Navachetana Microfinance Services Private Limited,Infomerics,Proposed - Long Term Bank Facilities,IVR D (INC)(Downgraded),2025-06-04,HIGH,INC,Nil,100,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,ULTRA HOT — Overdue + INC
Sustainable Agro-Commercial Finance Ltd.,CARE,Long term Loans,D,2025-06-08,HIGH,INC,Reaffirmed,100,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,ULTRA HOT — Overdue + INC
Reliance Commercial Finance Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD D,2025-06-11,HIGH,INC,Reaffirmed,100,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,ULTRA HOT — Overdue + INC
Indiabulls Mutual Fund,Infomerics,Indiabulls Short Term Fund,IVR AA+mfs (Downgraded from IVR AAAmfs),2018-06-22,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Kotak Mahindra Mutual Fund,Infomerics,Kotak FMP Series 236 (Mutual Fund),IVR A1+mfs (Withdrawn,2018-08-06,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Nidhi Textiles,Infomerics,Long Term Fund Based Limits,IVR BB- (Reaffirmed and Withdrawn),2018-12-11,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Indiabulls Liquid Fund and Indiabulls Short Term Fund (Indiabulls Asset Management Company Limited),Infomerics,Indiabulls Liquid Fund,IVR AAAmfs (Withdrawn),2019-01-10,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
"Radiant Life Care Private Limited (formerly, Halcyon Finance & Capital Advisors Pvt. Ltd.)",Infomerics,Long Term Loans,IVR A- (Withdrawn),2020-05-12,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Easy Home Finance Limited (EHFL),Infomerics,Proposed Bank Facilities,IVR BBB- (Withdrawn),2020-08-07,HIGH,Active,Credit Watch with Developing Implications,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Unimoni Financial Services Limited,Infomerics,Short Term Non Fund Facility Treasury Limit,,2021-04-30,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Habitat Micro Build India Housing Finance Company Private Limited,Infomerics,Proposed Long Term Fund Based Bank Facility - Term Loan,IVR BB+ (Reaffirmed & Withdrawn),2022-09-01,HIGH,Active,Negative,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Indian School Finance Company Private Limited,Infomerics,Proposed Non Convertible Debentures,Withdrawn,2023-01-23,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Vector Finance Private Limited,Infomerics,Long Term Bank Facilities,Withdrawn,2023-01-25,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Humana Financial Services Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ ( Reaffirmed and  withdrawn),2023-02-06,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Mangal Credit & Fincorp Limited (MCFL),Infomerics,Proposed Long term fund based bank facilities,Withdrawn,2023-07-14,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Bhanix Finance and Investment Limited,Infomerics,Non Convertible Debentures (NCDs) (INE08X507053),Withdrawn,2023-07-19,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Indiabulls Rural Finance Private Limited,Infomerics,Non - Convertible Debentures (NCDs) (INE06DK07016),Withdrawn,2023-07-19,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Nalin Lease Finance Limited (NLFL),Infomerics,Long term fund-based Bank facility - Proposed Dropline Overdraft,Withdrawn,2023-10-11,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Platinum Finleasing & Infra Development Private Limited,Infomerics,Long Term Bank Facilities (LRD),Withdrawn,2023-11-07,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Save Housing Finance Limited (erstwhile New Habitat Housing Finance and Development Limited),Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed and Withdrawn),2024-03-26,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Fintree Finance Private Limited,Infomerics,Long Term - Series A1 PTCs,Withdrawn,2024-05-22,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Paisabuddy Finance Private Limited,Infomerics,Long Term Fund Based Facilities,IVR BBB- (Reaffirmed and withdrawn),2024-09-18,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
ACAIPL Investment and Financial Services Private Limited,Infomerics,Proposed Bank Facilities,IVR BBB (Assigned),2024-11-22,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Agriwise Finserv Limited (Erstwhile StarAgri Finance Limited),Infomerics,Long Term Bank Facilities,Withdrawn,2024-11-28,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Maanaveeya Development & Finance Private Limited,Infomerics,Long Term Bank Facilities - Term Loan,IVR A (Assigned),2024-12-24,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Dhanlaxmi Bank Ltd.,CARE,Debentures / Bonds / notes / bills,BB+,2025-01-07,HIGH,Active,Withdrawn,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
D C B Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA-,2025-01-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Godrej Housing Finance Ltd.,CARE,Non-government debt,AA+/A1+,2025-01-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
National Housing Bank,ACUITE,Debentures / Bonds / notes / bills,AAA,2025-01-07,HIGH,Active,Initial Rating,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Altum Credo Home Finance Pvt. Ltd.,CARE,Fund based financial facility/instrument,BBB+,2025-01-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Spandana Sphoorty Financial Ltd.,CRISIL,Term loans,BBB+,2025-01-07,HIGH,Active,Downgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Satya Micro Housing Finance Pvt. Ltd.,ICRA,Fund based financial facility/instrument,BBB-,2025-01-09,HIGH,Active,Downgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Centrum Housing Finance Ltd.,CARE,Term loans,A-,2025-01-09,HIGH,Active,Rating Watch,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Dayanidhi Solar Power Pvt. Ltd.,CRISIL,Term loans,A-,2025-01-09,HIGH,Active,Initial Rating,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Anik Financial Services Pvt. Ltd.,ACUITE,Long term Loans,BB,2025-01-09,HIGH,Active,Withdrawn,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Tata Capital Housing Finance Ltd.,ICRA,Debentures / Bonds / notes / bills,AAA,2025-01-10,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Svatantra Micro Housing Finance Corpn. Ltd.,CARE,Term loans,AA-,2025-01-10,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
A U Small Finance Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA,2025-01-12,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
LKP Finance Limited,Infomerics,Fund based - long term bank facilities - Cash Credit,IVR BB+ (Downgraded)(Withdrawn),2025-01-29,HIGH,Active,Negative,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Vanchinad Finance Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-02-05,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Infina Finance Pvt. Ltd.,ICRA,Non-government debt,AA+/A1+,2025-02-06,HIGH,Active,Initial Rating,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Save Microfinance Pvt. Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD BBB-,2025-02-07,HIGH,Active,Withdrawn,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Kissandhan Agri Financial Services Pvt. Ltd.,CARE,Non-government debt,BBB/A3,2025-02-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
India Shelter Finance Corpn. Ltd.,CARE,Term loans,AA-,2025-02-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Kanakadurga Finance Ltd.,CARE,Term loans,BBB,2025-02-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Esaf Small Finance Bank Ltd.,CARE,Debentures / Bonds / notes / bills,A-,2025-02-09,HIGH,Active,Downgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
I D B I Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA,2025-02-09,HIGH,Active,Withdrawn,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Aadhar Housing Finance Ltd.,IND-RA,Term loans,AA,2025-02-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Wonder Home Finance Ltd.,CARE,Term loans,A,2025-02-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Five-Star Business Finance Ltd.,ICRA,Term loans,AA-,2025-02-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Stree Nidhi Credit Co-operative Federation Limited (Telangana),Infomerics,Long Term Fund Based Facility - Proposed CC/OD,IVR A (Reaffirmed),2025-02-12,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Eclear Leasing & Finance Pvt. Ltd.,CARE,Term loans,BBB,2025-02-12,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Kalanjiam Development Financial Services,Infomerics,Long Term Bank Facilities - Overdraft,IVR BB- (Assigned),2025-02-25,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Punjab and Sind Bank (PSB),Infomerics,BASEL III Complaint Tier II Bonds,IVR AA (Reaffirmed),2025-03-03,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
D C B Bank Ltd.,CRISIL,Debentures / Bonds / notes / bills,AA-,2025-03-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Aptus Value Housing Finance India Ltd.,CARE,Bank Guarantee,AA,2025-03-07,HIGH,Active,Upgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Yes Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA-,2025-03-07,HIGH,Active,Upgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Bank Of Maharashtra,CARE,Debentures / Bonds / notes / bills,AA+,2025-03-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Supra Pacific Financial Services Limited (SPFSL,Infomerics,Long Term Fund  Based Facility - Proposed Term  Loans,IVR BBB- (Assigned),2025-03-07,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
G I C Housing Finance Ltd.,CRISIL,Long term Loans,AA+,2025-03-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Svamaan Financial Services Pvt. Ltd.,CRISIL,Term loans,A+,2025-03-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
L & T Finance Ltd.,CRISIL,Debentures / Bonds / notes / bills,AAA,2025-03-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Svamaan Financial Services Pvt. Ltd.,CARE,Term loans,A,2025-03-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Motilal Oswal Home Finance Ltd.,CRISIL,Long term Loans,AA,2025-03-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
B W D A Finance Ltd.,IND-RA,Term loans,BBB-,2025-03-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Abans Finance Pvt. Ltd.,ACUITE,Debentures / Bonds / notes / bills,PP-MLD BBB+,2025-03-10,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Aham Housing Finance Ltd.,IND-RA,Term loans,BBB-,2025-03-10,HIGH,Active,Withdrawn,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Toyota Financial Services India Ltd.,ICRA,Non-government debt,AAA/A1+,2025-03-10,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Bank Note Paper Mill India Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 1+,2025-03-12,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Bank of Maharashtra,Infomerics,Basel-III Compliant Additional Tier-I Bonds,IVR AA (Reaffirmed),2025-03-13,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Tourism Finance Corporation of India Limited,Infomerics,Proposed Commercial Paper (CPs),IVR A1+ (Reaffirmed),2025-03-25,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Stree Nidhi Credit Co-Operative Federation Limited (Andhra Pradesh),Infomerics,Fund Based - Long Term facilities - Working Capital Facilities,IVR A (Reaffirmed),2025-03-26,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Home First Finance Co. India Ltd.,IND-RA,Term loans,AA,2025-04-06,HIGH,Active,Upgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Export-Import Bank Of India,CRISIL,Debentures / Bonds / notes / bills,AAA,2025-04-06,HIGH,Active,Initial Rating,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Five-Star Business Finance Ltd.,CARE,Non-government debt,AA-/A1+,2025-04-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
P N B Housing Finance Ltd.,CARE,Non-government debt,AA+/A1+,2025-04-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Aadhar Housing Finance Ltd.,CARE,Long term Loans,AA+,2025-04-07,HIGH,Active,Upgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Nuvama Wealth Finance Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD AA,2025-04-07,HIGH,Active,Initial Rating,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
India Factoring & Finance Solutions Pvt. Ltd.,CARE,Non-government debt,BBB+/A2,2025-04-07,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Goldman Sachs (India) Finance Pvt. Ltd.,ICRA,Fund based financial facility/instrument,AAA,2025-04-08,HIGH,Active,Initial Rating,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Aham Housing Finance Ltd.,CRISIL,Long term Loans,BBB-,2025-04-08,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
S M F G India Home Finance Co. Ltd.,CRISIL,Term loans,AAA,2025-04-09,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Indian Bank,BRICKWORK,Debentures / Bonds / notes / bills,AAA,2025-04-09,HIGH,Active,Withdrawn,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
