Company Name,Current Rater,Instrument Type,Rating,Rating Date,Urgency,INC Status,Rating Status,Hot Score,Why Target,ACER Pitch,Source,Heat Category
India Factoring & Finance Solutions Pvt. Ltd.,ACUITE,Long term Loans,A-,2025-04-09,HIGH,Active,Initial Rating,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
India Infrastructure Finance Co. Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,AAA,2025-04-11,HIGH,Active,Withdrawn,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Purple Finance Ltd.,IND-RA,Term loans,BBB-,2025-04-11,HIGH,Active,Initial Rating,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Chemm Finance Ltd.,IND-RA,Term loans,B+,2025-04-11,HIGH,Active,Downgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Lendingkart Finance Ltd.,CRISIL,Long term Loans,AA-,2025-04-11,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
L & T Finance Ltd.,IND-RA,Non-government debt,AAA/A1+,2025-04-12,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Canbank Factors Ltd.,CRISIL,Long term Loans,AA,2025-04-12,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Navnidhi Continental Private Limited,Infomerics,Long Term Facilities,IVR BB+ (Assigned),2025-04-14,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Satin Housing Finance Limited,Infomerics,Fund Based - Long Term Bank Facilities - Term loans,IVR A- (Reaffirmed)(Withdrawn),2025-04-16,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
The Andhra Bank Farmers Service Co-Operative Society Limited,Infomerics,Fund based - Long Term bank facilities - Cash Credit,IVR B+ (Assigned),2025-04-21,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Velicham Finance Private Limited,Infomerics,Long Term Fund Based Facilities,IVR BB+ (Upgraded and Withdrawn),2025-04-23,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Nido Home Finance Limited,Infomerics,Proposed Commercial Paper (CPs),IVR A1+ (Assigned),2025-04-28,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Red Fort Capital Finance Company Private Limited,Infomerics,Proposed Non-Convertible Debentures,Withdrawn,2025-04-28,HIGH,Active,Nil,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Lendingkart Finance Limited,Infomerics,Proposed Long Term Fund Based Bank Facilities,IVR A+ (Upgraded),2025-05-05,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
E C L Finance Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD A+,2025-05-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Edelweiss Financial Services Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD A+,2025-05-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Kotak Mahindra Bank Ltd.,ICRA,Debentures / Bonds / notes / bills,AAA,2025-05-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Aadhar Housing Finance Ltd.,ICRA,Long term Loans,AA,2025-05-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Moneyboxx Finance Ltd.,IND-RA,Term loans,BBB,2025-05-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Srinidhi Credit Pvt. Ltd.,ACUITE,Long term Loans,BBB-,2025-05-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Punjab National Bank,ICRA,Debentures / Bonds / notes / bills,AAA,2025-05-12,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Axis Finance Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD AAA,2025-05-12,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Save Microfinance Private Limited,Infomerics,Long Term Bank Facilities - Term Loan,IVR BBB (Reaffirmed),2025-05-27,HIGH,Active,Negative,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
AMU Leasing Private Limited,Infomerics,Long Term Fund Based Bank Facilities - Proposed,IVR BBB- (Assigned),2025-06-04,HIGH,Active,Stable,50,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — Rating Overdue
Mufin Green Finance Ltd.,ACUITE,Long term Loans,A-,2025-06-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Manibhavnam Home Finance India Pvt. Ltd.,ICRA,Term loans,BBB-,2025-06-06,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Religare Housing Devp. Finance Corpn. Ltd.,CARE,Term loans,BBB-,2025-06-08,HIGH,Active,Upgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
L I C Housing Finance Ltd.,CRISIL,Short-term loan,A 1+,2025-06-10,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Union Bank Of India,ICRA,Debentures / Bonds / notes / bills,AAA,2025-06-10,HIGH,Active,Withdrawn,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
I T I Gold Loans Ltd.,CRISIL,Long term Loans,A-,2025-06-11,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
I T I Finance Ltd.,CRISIL,Long term Loans,A-,2025-06-11,HIGH,Active,Reaffirmed,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Fasttrack Housing Finance Ltd.,CRISIL,Long term Loans,BBB+,2025-06-11,HIGH,Active,Upgraded,50,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365,HOT — Rating Overdue
Janakalyan Financial Services Pvt. Ltd.,CARE,Term loans,B+,2025-07-08,MEDIUM,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Infrastructure Leasing & Financial Services Ltd.,ICRA,Debentures / Bonds / notes / bills,D,2025-07-11,MEDIUM,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Jaika Automobiles & Finance Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),2025-07-29,MEDIUM,INC,Nil,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
Growing Opportunity Finance India Private Limited,Infomerics,Proposed Long Term Fund Based Facilities,IVR B+ (INC)(Downgraded),2025-08-08,MEDIUM,INC,Negative,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
Akhshayaa Finance Bhaarath Ltd.,BRICKWORK,Term loans,D,2025-08-10,MEDIUM,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Green Malabar Finance Ventures Limited,Infomerics,Proposed Long Term Fund Based Limits - WCDL,IVR BB (INC)(Downgraded),2025-08-13,MEDIUM,INC,Negative,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
Inditrade Microfinance Limited,Infomerics,Non-Convertible Debentures,IVR D (INC)(Reaffirmed),2025-09-23,MEDIUM,INC,Nil,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
SKG Asset Management Private Limited,Infomerics,Long Term Bank Facilities,IVR B- (INC)(Downgraded),2025-09-30,MEDIUM,INC,Negative,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
Ashv Finance Ltd.,ACUITE,Term loans,B,2025-10-06,MEDIUM,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Finvent Finance & Invts. Ltd.,CRISIL,Long term Loans,B-,2025-10-06,MEDIUM,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Sustainable Agro-Commercial Finance Limited,Infomerics,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-10-09,MEDIUM,INC,Nil,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
Inditrade Fincorp Ltd.,ACUITE,Term loans,D,2025-10-10,MEDIUM,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Shri Banke Bihari Cotfab Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-10-10,MEDIUM,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Glowmore Finance Pvt. Ltd.,IND-RA,Term loans,B+,2025-10-11,MEDIUM,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Shree Biradev Finance Private Limited,Infomerics,Fund based - Long Term Bank Facilities - CC/OD,IVR BB+(INC) (Downgraded),2025-10-27,MEDIUM,INC,Negative,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
Nidhi Auto Pvt. Ltd.,CARE,Non-government debt,B-/A4,2025-11-12,MEDIUM,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Arth Micro Finance Pvt. Ltd.,ACUITE,Term loans,D,2026-01-04,LOW,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Dhansamridhi Finance Private Limited,Infomerics,Proposed Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2026-01-12,LOW,INC,Negative,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
IQRA Microfinance Federation,Infomerics,Long Term Bank Facilities - Proposed Term Loan,IVR C+ (INC)(Downgraded),2026-01-23,LOW,INC,Negative,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
Hindusthan Microfinance Pvt. Ltd.,BRICKWORK,Term loans,C,2026-02-01,LOW,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Trucap Finance Ltd.,CARE,Fund based financial facility/instrument,D,2026-02-04,LOW,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Baba PuranDass Financial Services Limited,Infomerics,Proposed Fixed Deposit,IVR C- (INC) (Reaffirmed),2026-02-10,LOW,INC,Negative,50,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics,HOT — INC Status
Aviom India Housing Finance Pvt. Ltd.,ACUITE,Long term Loans,D,2026-03-02,LOW,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Shree Naman Securities & Finance Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2026-03-04,LOW,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Jalnidhi Bitumen Specialities Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2026-06-04,LOW,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,Term loans,BB-,2026-09-04,LOW,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Ashray Microfinance Ltd.,CRISIL,Long term Loans,B,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Aviom India Housing Finance Pvt. Ltd.,CRISIL,Long term Loans,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Essel Finance Business Loans Ltd.,ACUITE,Long term Loans,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Exclusive Leasing & Finance Pvt. Ltd.,CRISIL,Long term Loans,BBB-,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Gilada Finance & Invsts. Ltd.,ACUITE,Long term Loans,BB-,,UNKNOWN,INC,Withdrawn,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Gokul Finance & Invst. Co. Pvt. Ltd.,ACUITE,Long term Loans,B-,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Growing Opportunity Finance (India) Pvt. Ltd.,CARE,Fund based financial facility/instrument,B,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Humana Financial Services Pvt. Ltd.,ACUITE,Long term Loans,BB+,,UNKNOWN,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
J M J Finance Ltd.,CRISIL,Long term Loans,B+,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Karvy Financial Services Ltd.,ICRA,Fund based financial facility/instrument,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Khush Housing Finance Pvt. Ltd.,ACUITE,Term loans,BB,,UNKNOWN,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
L R N Finance Ltd.,CRISIL,Long term Loans,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Margdarshak Financial Services Ltd.,BRICKWORK,Term loans,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Need Livelihood Microfinance Pvt. Ltd.,CARE,Term loans,B-,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
P N Y Sabha Finance Ltd.,BRICKWORK,Term loans,C,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Peerless General Finance & Invst. Co. Ltd.,CRISIL,Long term Loans,BBB+,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Rama Ferro Alloys & Finance Pvt. Ltd.,CRISIL,Letter Of credit,A 4,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Reliance Commercial Finance Ltd.,CARE,Debentures / Bonds / notes / bills,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Reliance Home Finance Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Reliance Home Finance Ltd.,CARE,Debentures / Bonds / notes / bills,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Riverbank Developers Pvt. Ltd.,CARE,Bank Guarantee,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Seajuli Developers & Finance Ltd.,CARE,Term loans,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Shashank Nidhi Construction Pvt. Ltd.,IND-RA,Term loans,B-,,UNKNOWN,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Shree Nidhi Secure Print Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Shri Banke Bihari Polyfab Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Shri Banke Bihari Polyfab Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,B-,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Sree Sannidhi Foods Pvt. Ltd.,CARE,Term loans,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Sreenidhi Raja Packing Solutions Pvt. Ltd.,CRISIL,Long term Loans,B+,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Sreenidhi Raja Packing Solutions Pvt. Ltd.,IND-RA,Term loans,B-,,UNKNOWN,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Srinidhi Industries Ltd.,BRICKWORK,Bank Guarantee,A 4,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Swarna Pragati Housing Microfinance Pvt. Ltd.,CARE,Term loans,B,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
United Overseas Finance Ltd.,ACUITE,Long term Loans,B+,,UNKNOWN,INC,Downgraded,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
A S A International India Microfinance Ltd.,ICRA,Term loans,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Action Financial Services (India) Ltd.,CRISIL,Bank Guarantee,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Andhra Pradesh Power Finance Corpn. Ltd.,CRISIL,Debentures / Bonds / notes / bills,D,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
Apna Sahakari Bank Ltd.,CRISIL,Bank Guarantee,A 4,,UNKNOWN,INC,Reaffirmed,50,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365,HOT — INC Status
